cycle_id,field_id,crop_name,start_date,expected_harvest_date,actual_harvest_date,status,yield_prediction,actual_yield
1,9,Wheat,2023-07-27,2024-07-08,,completed,4.38,
2,23,Cotton,2024-02-13,2025-01-20,,active,6.8,
3,5,Rice,2023-07-05,2024-12-30,2024-07-24,completed,7.9,
4,16,Barley,2024-03-27,2025-03-22,2024-07-18,cancelled,4.48,
5,24,Rice,2024-04-05,2024-09-08,2024-07-22,cancelled,4.51,
6,19,Barley,2024-06-20,2024-12-14,2024-06-15,cancelled,3.63,
7,11,Wheat,2024-06-12,2025-02-09,2024-06-18,completed,,5.42
8,29,Cotton,2023-10-13,2024-12-22,2024-06-02,completed,,
9,35,Maize,2024-01-07,2024-10-03,,active,7.72,7.0
10,46,Sugarcane,2024-02-10,2024-08-15,2024-07-22,completed,6.76,4.55
11,20,Maize,2023-08-09,2024-06-03,2024-06-11,completed,,
12,40,Barley,2024-06-09,2024-07-25,2024-07-29,active,,
13,42,Rice,2023-12-21,2025-01-04,,completed,5.39,
14,34,Rice,2024-05-19,2024-09-21,2024-06-02,active,7.83,3.57
15,1,Rice,2023-12-12,2024-08-30,2024-07-08,completed,7.31,6.24
16,43,Rice,2024-06-08,2025-02-21,2024-06-02,completed,,
17,36,Sugarcane,2023-09-06,2025-01-24,,completed,,4.46
18,20,Wheat,2023-12-05,2024-06-26,2024-07-26,completed,5.89,5.08
19,43,Rice,2024-03-20,2025-03-13,2024-06-04,cancelled,3.76,
20,7,Barley,2023-12-10,2024-10-06,,cancelled,7.75,
21,9,Cotton,2024-06-10,2024-08-02,,completed,,
22,17,Sugarcane,2024-01-30,2025-01-20,2024-06-22,cancelled,5.79,
23,8,Barley,2023-12-19,2024-08-08,2024-06-25,active,5.98,
24,7,Barley,2024-01-27,2025-01-24,,cancelled,6.88,
25,48,Rice,2024-06-25,2025-02-27,2024-06-27,active,7.54,3.68
26,36,Cotton,2023-12-03,2025-03-14,,active,5.94,
27,10,Rice,2024-04-13,2024-11-10,,active,5.84,7.27
28,18,Barley,2023-09-08,2025-01-13,,cancelled,,
29,19,Wheat,2023-10-11,2025-02-14,2024-07-31,completed,3.5,4.34
30,39,Sugarcane,2024-02-05,2025-01-05,,completed,6.13,
31,14,Wheat,2024-06-09,2025-03-08,2024-07-20,cancelled,3.41,7.19
32,46,Sugarcane,2024-01-15,2025-01-15,2024-06-03,active,5.76,
33,22,Rice,2024-06-15,2024-08-21,2024-07-31,cancelled,,7.33
34,14,Rice,2023-10-02,2025-01-30,,completed,6.45,
35,44,Sugarcane,2024-05-15,2025-01-17,2024-07-10,cancelled,3.16,
